name,value
Hoàng Nông, Hoàng Nông
Khôi Kỳ, Khôi Kỳ
Tân Thái, Tân Thái
Lục Ba, Lục Ba
Mỹ Yên, Mỹ Yên
Vạn Thọ, Vạn Thọ
Văn Yên, Văn Yên
Ký Phú, Ký Phú
Cát Nê, Cát Nê
Quân Chu, Quân Chu
Bãi Bông, Bãi Bông
Bắc Sơn, Bắc Sơn
Ba Hàng, Ba Hàng
Phúc Tân, Phúc Tân
Phúc Thuận, Phúc Thuận
Hồng Tiến, Hồng Tiến
Đắc Sơn, Đắc Sơn
Tiên Phong, Tiên Phong
Vạn Phái, Vạn Phái
Nam Tiến, Nam Tiến
Tân Hương, Tân Hương
Đông Cao, Đông Cao
Tân Phú, Tân Phú
Thuận Thành, Thuận Thành
Hương Sơn, Hương Sơn
Bàn Đạt, Bàn Đạt
Tân Khánh, Tân Khánh
Tân Kim, Tân Kim
Đào Xá, Đào Xá
Bảo Lý, Bảo Lý
Thượng Đình, Thượng Đình
Nhã Lộng, Nhã Lộng
Điềm Thụy, Điềm Thụy
Xuân Phương, Xuân Phương
Tân Đức, Tân Đức
Úc Kỳ, Úc Kỳ
Lương Phú, Lương Phú
Nga My, Nga My
Kha Sơn, Kha Sơn
Thanh Ninh, Thanh Ninh
Dương Thành, Dương Thành
Hà Châu, Hà Châu
Tam Thanh, Tam Thanh
Vĩnh Trại, Vĩnh Trại
Đông Kinh, Đông Kinh
Chi Lăng, Chi Lăng
Hoàng Đồng, Hoàng Đồng
Quảng Lạc, Quảng Lạc
Mai Pha, Mai Pha
Thất Khê, Thất Khê
Khánh Long, Khánh Long
Quốc Khánh, Quốc Khánh
Cao Minh, Cao Minh
Chí Minh, Chí Minh
Tân Yên, Tân Yên
Đội Cấn, Đội Cấn
Chi Lăng, Chi Lăng
Đào Viên, Đào Viên
Đề Thám, Đề Thám
Kháng Chiến, Kháng Chiến
Quốc Việt, Quốc Việt
Hùng Việt, Hùng Việt
Yên Lỗ, Yên Lỗ
Thiện Hòa, Thiện Hòa
Thiện Thuật, Thiện Thuật
Thiện Long, Thiện Long
Bình Gia, Bình Gia
Bình La, Bình La
Tân Văn, Tân Văn
Na Sầm, Na Sầm
Trùng Khánh, Trùng Khánh
Bắc La, Bắc La
Bắc Hùng, Bắc Hùng
Tân Tác, Tân Tác
Hội Hoan, Hội Hoan
Bắc Việt, Bắc Việt
Hoàng Việt, Hoàng Việt
Gia Miễn, Gia Miễn
Thành Hòa, Thành Hòa
Nhạc Kỳ, Nhạc Kỳ
Đồng Đăng, Đồng Đăng
Cao Lộc, Cao Lộc
Bảo Lâm, Bảo Lâm
Thanh Lòa, Thanh Lòa
Cao Lâu, Cao Lâu
Thạch Đạn, Thạch Đạn
Xuất Lễ, Xuất Lễ
Lộc Yên, Lộc Yên
Phú Xá, Phú Xá
Hải Yến, Hải Yến
Hòa Cư, Hòa Cư
Công Sơn, Công Sơn
Gia Cát, Gia Cát
Mẫu Sơn, Mẫu Sơn
Tân Liên, Tân Liên
Văn Quan, Văn Quan
Trấn Ninh, Trấn Ninh
Liên Hội, Liên Hội
Tú Xuyên, Tú Xuyên
Điềm He, Điềm He
An Sơn, An Sơn
Khánh Khê, Khánh Khê
Lương Năng, Lương Năng
Đồng Giáp, Đồng Giáp
Bình Phúc, Bình Phúc
Tràng Các, Tràng Các
Tân Đoàn, Tân Đoàn
Tri Lễ, Tri Lễ
Tràng Phái, Tràng Phái
Yên Phúc, Yên Phúc
Hữu Lễ, Hữu Lễ
Bắc Sơn, Bắc Sơn
Long Đống, Long Đống
Vạn Thủy, Vạn Thủy
Đồng ý, Đồng ý
Tân Tri, Tân Tri
Bắc Quỳnh, Bắc Quỳnh
Hưng Vũ, Hưng Vũ
Vũ Sơn, Vũ Sơn
Chiêu Vũ, Chiêu Vũ
Chiến Thắng, Chiến Thắng
Vũ Lăng, Vũ Lăng
Trấn Yên, Trấn Yên
Vũ Lễ, Vũ Lễ
Nhất Hòa, Nhất Hòa
Nhất Tiến, Nhất Tiến
Hữu Lũng, Hữu Lũng
Hữu Liên, Hữu Liên
Thiện Tân, Thiện Tân
Yên Vượng, Yên Vượng
Nhật Tiến, Nhật Tiến
Cai Kinh, Cai Kinh
Hòa Lạc, Hòa Lạc
Vân Nham, Vân Nham
Hồ Sơn, Hồ Sơn
Minh Hòa, Minh Hòa
Hòa Thắng, Hòa Thắng
Đồng Mỏ, Đồng Mỏ
Chi Lăng, Chi Lăng
Vân An, Vân An
Vân Thủy, Vân Thủy
Gia Lộc, Gia Lộc
Bắc Thủy, Bắc Thủy
Mai Sao, Mai Sao
Bằng Hữu, Bằng Hữu
Thượng Cường, Thượng Cường
Bằng Mạc, Bằng Mạc
Vạn Linh, Vạn Linh
Hữu Kiên, Hữu Kiên
Quan Sơn, Quan Sơn
Y Tịch, Y Tịch
Na Dương, Na Dương
Lộc Bình, Lộc Bình
Yên Khoái, Yên Khoái
Tú Mịch, Tú Mịch
Hữu Khánh, Hữu Khánh
Đồng Bục, Đồng Bục
Tam Gia, Tam Gia
Tú Đoạn, Tú Đoạn
Khuất Xá, Khuất Xá
Tĩnh Bắc, Tĩnh Bắc
Sàn Viên, Sàn Viên
Đông Quan, Đông Quan
Minh Hiệp, Minh Hiệp
Hữu Lân, Hữu Lân
Lợi Bác, Lợi Bác
Nam Quan, Nam Quan
Ái Quốc, Ái Quốc
Đình Lập, Đình Lập
NT Thái Bình, NT Thái Bình
Bắc Xa, Bắc Xa
Bính Xá, Bính Xá
Kiên Mộc, Kiên Mộc
Đình Lập, Đình Lập
Lâm Ca, Lâm Ca
Bắc Lãng, Bắc Lãng
Hà Khánh, Hà Khánh
Hà Phong, Hà Phong
Hà Khẩu, Hà Khẩu
Cao Xanh, Cao Xanh
Giếng Đáy, Giếng Đáy
Hà Tu, Hà Tu
Hà Trung, Hà Trung
Hà Lầm, Hà Lầm
Bãi Cháy, Bãi Cháy
Cao Thắng, Cao Thắng
Hùng Thắng, Hùng Thắng
Hồng Hải, Hồng Hải
Hồng Gai, Hồng Gai
Tuần Châu, Tuần Châu
Đại Yên, Đại Yên
Hoành Bồ, Hoành Bồ
Kỳ Thượng, Kỳ Thượng
Đồng Sơn, Đồng Sơn
Đồng Lâm, Đồng Lâm
Vũ Oai, Vũ Oai
Quảng La, Quảng La
Bằng Cả, Bằng Cả
Sơn Dương, Sơn Dương
Ka Long, Ka Long
Ninh Dương, Ninh Dương
Hoà Lạc, Hoà Lạc
Trà Cổ, Trà Cổ
Hải Sơn, Hải Sơn
Hải Đông, Hải Đông
Hải Tiến, Hải Tiến
Hải Yên, Hải Yên
Quảng Nghĩa, Quảng Nghĩa
Hải Hoà, Hải Hoà
Hải Xuân, Hải Xuân
Vạn Ninh, Vạn Ninh
Bình Ngọc, Bình Ngọc
Vĩnh Trung, Vĩnh Trung
Vĩnh Thực, Vĩnh Thực
Mông Dương, Mông Dương
Cửa Ông, Cửa Ông
Cẩm Sơn, Cẩm Sơn
Cẩm Đông, Cẩm Đông
Cẩm Phú, Cẩm Phú
Cẩm Tây, Cẩm Tây
Quang Hanh, Quang Hanh
Cẩm Thịnh, Cẩm Thịnh
Cẩm Thủy, Cẩm Thủy
Cẩm Thạch, Cẩm Thạch
Cẩm Thành, Cẩm Thành
Cẩm Trung, Cẩm Trung
Cẩm Bình, Cẩm Bình
Cẩm Hải, Cẩm Hải
Dương Huy, Dương Huy
Vàng Danh, Vàng Danh
Thanh Sơn, Thanh Sơn
Nam Khê, Nam Khê
Yên Thanh, Yên Thanh
Thượng Yên Công, Thượng Yên Công
Phương Đông, Phương Đông
Phương Nam, Phương Nam
Bình Liêu, Bình Liêu
Hoành Mô, Hoành Mô
Đồng Văn, Đồng Văn
Vô Ngại, Vô Ngại
Lục Hồn, Lục Hồn
Húc Động, Húc Động
Tiên Yên, Tiên Yên
Hà Lâu, Hà Lâu
Đại Dực, Đại Dực
Phong Dụ, Phong Dụ
Điền Xá, Điền Xá
Đông Ngũ, Đông Ngũ
Yên Than, Yên Than
Đông Hải, Đông Hải
Hải Lạng, Hải Lạng
Tiên Lãng, Tiên Lãng
Đồng Rui, Đồng Rui
Đầm Hà, Đầm Hà
Quảng An, Quảng An
Tân Bình, Tân Bình
Dực Yên, Dực Yên
Quảng Tân, Quảng Tân
Đầm Hà, Đầm Hà
Đại Bình, Đại Bình
Quảng Hà, Quảng Hà
Quảng Đức, Quảng Đức
Quảng Sơn, Quảng Sơn
Quảng Thành, Quảng Thành
Quảng Thịnh, Quảng Thịnh
Quảng Minh, Quảng Minh
Quảng Chính, Quảng Chính
Quảng Long, Quảng Long
Đường Hoa, Đường Hoa
Quảng Phong, Quảng Phong
Cái Chiên, Cái Chiên
Ba Chẽ, Ba Chẽ
Đạp Thanh, Đạp Thanh
Lương Mông, Lương Mông
Đồn Đạc, Đồn Đạc
Minh Cầm, Minh Cầm
Cái Rồng, Cái Rồng
Đài Xuyên, Đài Xuyên
Bình Dân, Bình Dân
Hạ Long, Hạ Long
Đông Xá, Đông Xá
Quan Lạn, Quan Lạn
Ngọc Vừng, Ngọc Vừng
Mạo Khê, Mạo Khê
Đông Triều, Đông Triều
An Sinh, An Sinh
Tràng Lương, Tràng Lương
Bình Khê, Bình Khê
Việt Dân, Việt Dân
Tân Việt, Tân Việt
Đức Chính, Đức Chính
Tràng An, Tràng An
Thủy An, Thủy An
Xuân Sơn, Xuân Sơn
Hồng Thái Tây, Hồng Thái Tây
Hồng Thái Đông, Hồng Thái Đông
Hoàng Quế, Hoàng Quế
Yên Thọ, Yên Thọ
Hồng Phong, Hồng Phong
Kim Sơn, Kim Sơn
Hưng Đạo, Hưng Đạo
Yên Đức, Yên Đức
Quảng Yên, Quảng Yên
Đông Mai, Đông Mai
Minh Thành, Minh Thành
Sông Khoai, Sông Khoai
Hiệp Hòa, Hiệp Hòa
Cộng Hòa, Cộng Hòa
Tiền An, Tiền An
Hoàng Tân, Hoàng Tân
Yên Giang, Yên Giang
Nam Hoà, Nam Hoà
Hà An, Hà An
Cẩm La, Cẩm La
Phong Hải, Phong Hải
Yên Hải, Yên Hải
Liên Hòa, Liên Hòa
Phong Cốc, Phong Cốc
Liên Vị, Liên Vị
Cô Tô, Cô Tô
Thanh Lân, Thanh Lân
Thọ Xương, Thọ Xương
Trần Nguyên Hãn, Trần Nguyên Hãn
Mỹ Độ, Mỹ Độ
Song Mai, Song Mai
Xương Giang, Xương Giang
Đa Mai, Đa Mai
Dĩnh Kế, Dĩnh Kế
Dĩnh Trì, Dĩnh Trì
Song Khê, Song Khê
Xuân Lương, Xuân Lương
Tam Tiến, Tam Tiến
Đồng Vương, Đồng Vương
Đồng Hưu, Đồng Hưu
Tân Hiệp, Tân Hiệp
Hương Vĩ, Hương Vĩ
Đồng Kỳ, Đồng Kỳ
Phồn Xương, Phồn Xương
Tân Sỏi, Tân Sỏi
Bố Hạ, Bố Hạ
Lan Giới, Lan Giới
Nhã Nam, Nhã Nam
Tân Trung, Tân Trung
Đại Hóa, Đại Hóa
An Dương, An Dương
Hợp Đức, Hợp Đức
Lam Cốt, Lam Cốt
Cao Xá, Cao Xá
Cao Thượng, Cao Thượng
Việt Ngọc, Việt Ngọc
Song Vân, Song Vân
Ngọc Châu, Ngọc Châu
Ngọc Vân, Ngọc Vân
Việt Lập, Việt Lập
Liên Chung, Liên Chung
Ngọc Thiện, Ngọc Thiện
Ngọc Lý, Ngọc Lý
Quế Nham, Quế Nham
Vôi, Vôi
Nghĩa Hòa, Nghĩa Hòa
Nghĩa Hưng, Nghĩa Hưng
Quang Thịnh, Quang Thịnh
Đào Mỹ, Đào Mỹ
Tiên Lục, Tiên Lục
An Hà, An Hà
Kép, Kép
Mỹ Hà, Mỹ Hà
Hương Lạc, Hương Lạc
Dương Đức, Dương Đức
Mỹ Thái, Mỹ Thái
Xương Lâm, Xương Lâm
Xuân Hương, Xuân Hương
Tân Dĩnh, Tân Dĩnh
Đại Lâm, Đại Lâm
Thái Đào, Thái Đào
Đồi Ngô, Đồi Ngô
Đông Hưng, Đông Hưng
Đông Phú, Đông Phú
Tam Dị, Tam Dị
Bảo Sơn, Bảo Sơn
Bảo Đài, Bảo Đài
Tiên Nha, Tiên Nha
Trường Giang, Trường Giang
Phương Sơn, Phương Sơn
Chu Điện, Chu Điện
Cương Sơn, Cương Sơn
Nghĩa Phương, Nghĩa Phương
Lan Mẫu, Lan Mẫu
Khám Lạng, Khám Lạng
Huyền Sơn, Huyền Sơn
Trường Sơn, Trường Sơn
Lục Sơn, Lục Sơn
Bắc Lũng, Bắc Lũng
Vũ Xá, Vũ Xá
Cẩm Lý, Cẩm Lý
Đan Hội, Đan Hội
Tân Hoa, Tân Hoa
Chũ, Chũ
Cấm Sơn, Cấm Sơn
Phong Minh, Phong Minh
Xa Lý, Xa Lý
Hộ Đáp, Hộ Đáp
Thanh Hải, Thanh Hải
Kiên Lao, Kiên Lao
Biên Sơn, Biên Sơn
Hồng Giang, Hồng Giang
Giáp Sơn, Giáp Sơn
Biển Động, Biển Động
Quý Sơn, Quý Sơn
Trù Hựu, Trù Hựu
Phì Điền, Phì Điền
Đồng Cốc, Đồng Cốc
Mỹ An, Mỹ An
Nam Dương, Nam Dương
Tân Mộc, Tân Mộc
Đèo Gia, Đèo Gia
Phượng Sơn, Phượng Sơn
An Châu, An Châu
Tây Yên Tử, Tây Yên Tử
Giáo Liêm, Giáo Liêm
Cẩm Đàn, Cẩm Đàn
Vĩnh An, Vĩnh An
Lệ Viễn, Lệ Viễn
An Bá, An Bá
Tuấn Đạo, Tuấn Đạo
Dương Hưu, Dương Hưu
Long Sơn, Long Sơn
Thanh Luận, Thanh Luận
Nham Biền, Nham Biền
Tân An, Tân An
Lão Hộ, Lão Hộ
Hương Gián, Hương Gián
Quỳnh Sơn, Quỳnh Sơn
Nội Hoàng, Nội Hoàng
Xuân Phú, Xuân Phú
Tân Liễu, Tân Liễu
Trí Yên, Trí Yên
Lãng Sơn, Lãng Sơn
Yên Lư, Yên Lư
Tiến Dũng, Tiến Dũng
Cảnh Thụy, Cảnh Thụy
Tư Mại, Tư Mại
Đồng Việt, Đồng Việt
Thượng Lan, Thượng Lan
Nghĩa Trung, Nghĩa Trung
Hương Mai, Hương Mai
Tự Lạn, Tự Lạn
Bích Động, Bích Động
Hồng Thái, Hồng Thái
Tiên Sơn, Tiên Sơn
Tăng Tiến, Tăng Tiến
Quảng Minh, Quảng Minh
Nếnh, Nếnh
Ninh Sơn, Ninh Sơn
Vân Trung, Vân Trung
Quang Châu, Quang Châu
Hoàng Lương, Hoàng Lương
Hoàng Vân, Hoàng Vân
Hoàng Thanh, Hoàng Thanh
Hoàng An, Hoàng An
Thắng, Thắng
Lương Phong, Lương Phong
Thường Thắng, Thường Thắng
Hợp Thịnh, Hợp Thịnh
Danh Thắng, Danh Thắng
Mai Trung, Mai Trung
Đoan Bái, Đoan Bái
Bắc Lý, Bắc Lý
Xuân Cẩm, Xuân Cẩm
Hương Lâm, Hương Lâm
Châu Minh, Châu Minh
Dữu Lâu, Dữu Lâu
Vân Cơ, Vân Cơ
Nông Trang, Nông Trang
Tân Dân, Tân Dân
Gia Cẩm, Gia Cẩm
Tiên Cát, Tiên Cát
Thọ Sơn, Thọ Sơn
Thanh Miếu, Thanh Miếu
Bạch Hạc, Bạch Hạc
Bến Gót, Bến Gót
Vân Phú, Vân Phú
Phượng Lâu, Phượng Lâu
Thụy Vân, Thụy Vân
Minh Phương, Minh Phương
Trưng Vương, Trưng Vương
Minh Nông, Minh Nông
Sông Lô, Sông Lô
Kim Đức, Kim Đức
Hùng Lô, Hùng Lô
Hy Cương, Hy Cương
Chu Hóa, Chu Hóa
Thanh Đình, Thanh Đình
Hùng Vương, Hùng Vương
Phong Châu, Phong Châu
Âu Cơ, Âu Cơ
Hà Lộc, Hà Lộc
Phú Hộ, Phú Hộ
Văn Lung, Văn Lung
Hà Thạch, Hà Thạch
Thanh Vinh, Thanh Vinh
Đoan Hùng, Đoan Hùng
Hùng Xuyên, Hùng Xuyên
Bằng Luân, Bằng Luân
Vân Du, Vân Du
Phú Lâm, Phú Lâm
Bằng Doãn, Bằng Doãn
Chí Đám, Chí Đám
Phúc Lai, Phúc Lai
Ngọc Quan, Ngọc Quan
Hợp Nhất, Hợp Nhất
Sóc Đăng, Sóc Đăng
Tây Cốc, Tây Cốc
Yên Kiện, Yên Kiện
Hùng Long, Hùng Long
Vụ Quang, Vụ Quang
Vân Đồn, Vân Đồn
Tiêu Sơn, Tiêu Sơn
Chân Mộng, Chân Mộng
Ca Đình, Ca Đình
Hạ Hoà, Hạ Hoà
Đại Phạm, Đại Phạm
Đan Thượng, Đan Thượng
Hà Lương, Hà Lương
Gia Điền, Gia Điền
Ấm Hạ, Ấm Hạ
Hương Xạ, Hương Xạ
Xuân Áng, Xuân Áng
Yên Kỳ, Yên Kỳ
Minh Hạc, Minh Hạc
Lang Sơn, Lang Sơn
Bằng Giã, Bằng Giã
Yên Luật, Yên Luật
Minh Côi, Minh Côi
Vĩnh Chân, Vĩnh Chân
Thanh Ba, Thanh Ba
Vân Lĩnh, Vân Lĩnh
Đông Lĩnh, Đông Lĩnh
Đại An, Đại An
Hanh Cù, Hanh Cù
Đồng Xuân, Đồng Xuân
Quảng Yên, Quảng Yên
Ninh Dân, Ninh Dân
Khải Xuân, Khải Xuân
Mạn Lạn, Mạn Lạn
Hoàng Cương, Hoàng Cương
Chí Tiên, Chí Tiên
Sơn Cương, Sơn Cương
Thanh Hà, Thanh Hà
Đỗ Sơn, Đỗ Sơn
Đỗ Xuyên, Đỗ Xuyên
Lương Lỗ, Lương Lỗ
Phong Châu, Phong Châu
Phú Mỹ, Phú Mỹ
Lệ Mỹ, Lệ Mỹ
Liên Hoa, Liên Hoa
Trạm Thản, Trạm Thản
Trị Quận, Trị Quận
Trung Giáp, Trung Giáp
Tiên Phú, Tiên Phú
Hạ Giáp, Hạ Giáp
Bảo Thanh, Bảo Thanh
Phú Lộc, Phú Lộc
Gia Thanh, Gia Thanh
Tiên Du, Tiên Du
Phú Nham, Phú Nham
An Đạo, An Đạo
Phù Ninh, Phù Ninh
Yên Lập, Yên Lập
Mỹ Lung, Mỹ Lung
Xuân An, Xuân An
Xuân Viên, Xuân Viên
Hưng Long, Hưng Long
Nga Hoàng, Nga Hoàng
Thượng Long, Thượng Long
Ngọc Lập, Ngọc Lập
Ngọc Đồng, Ngọc Đồng
Cẩm Khê, Cẩm Khê
Tiên Lương, Tiên Lương
Ngô Xá, Ngô Xá
Phượng Vĩ, Phượng Vĩ
Thụy Liễu, Thụy Liễu
Tùng Khê, Tùng Khê
Tam Sơn, Tam Sơn
Văn Bán, Văn Bán
Cấp Dẫn, Cấp Dẫn
Xương Thịnh, Xương Thịnh
Phú Khê, Phú Khê
Sơn Tình, Sơn Tình
Yên Tập, Yên Tập
Hương Lung, Hương Lung
Tạ Xá, Tạ Xá
Chương Xá, Chương Xá
Văn Khúc, Văn Khúc
Yên Dưỡng, Yên Dưỡng
Điêu Lương, Điêu Lương
Đồng Lương, Đồng Lương
Hưng Hoá, Hưng Hoá
Hiền Quan, Hiền Quan
Thanh Uyên, Thanh Uyên
Lam Sơn, Lam Sơn
Vạn Xuân, Vạn Xuân
Quang Húc, Quang Húc
Hương Nộn, Hương Nộn
Tề Lễ, Tề Lễ
Thọ Văn, Thọ Văn
Dân Quyền, Dân Quyền
Lâm Thao, Lâm Thao
Tiên Kiên, Tiên Kiên
Xuân Lũng, Xuân Lũng
Xuân Huy, Xuân Huy
Thạch Sơn, Thạch Sơn
Sơn Vi, Sơn Vi
Phùng Nguyên, Phùng Nguyên
Vĩnh Lại, Vĩnh Lại
Tứ Xã, Tứ Xã
Bản Nguyên, Bản Nguyên
Thanh Sơn, Thanh Sơn
Sơn Hùng, Sơn Hùng
Địch Quả, Địch Quả
Giáp Lai, Giáp Lai
Thục Luyện, Thục Luyện
Võ Miếu, Võ Miếu
Thạch Khoán, Thạch Khoán
Cự Thắng, Cự Thắng
Tất Thắng, Tất Thắng
Văn Miếu, Văn Miếu
Cự Đồng, Cự Đồng
Thắng Sơn, Thắng Sơn
Hương Cần, Hương Cần
Khả Cửu, Khả Cửu
Đông Cửu, Đông Cửu
Yên Lương, Yên Lương
Thượng Cửu, Thượng Cửu
Lương Nha, Lương Nha
Tinh Nhuệ, Tinh Nhuệ
Thạch Đồng, Thạch Đồng
Xuân Lộc, Xuân Lộc
Tân Phương, Tân Phương
Thanh Thủy, Thanh Thủy
Bảo Yên, Bảo Yên
Đoan Hạ, Đoan Hạ
Đồng Trung, Đồng Trung
Hoàng Xá, Hoàng Xá
Tu Vũ, Tu Vũ
Thu Cúc, Thu Cúc
Thạch Kiệt, Thạch Kiệt
Thu Ngạc, Thu Ngạc
Kiệt Sơn, Kiệt Sơn
Lai Đồng, Lai Đồng
Mỹ Thuận, Mỹ Thuận
Xuân Đài, Xuân Đài
Minh Đài, Minh Đài
Văn Luông, Văn Luông
Long Cốc, Long Cốc
Kim Thượng, Kim Thượng
Tam Thanh, Tam Thanh
Vinh Tiền, Vinh Tiền
Tích Sơn, Tích Sơn
Liên Bảo, Liên Bảo
Hội Hợp, Hội Hợp
Đống Đa, Đống Đa
Định Trung, Định Trung
Khai Quang, Khai Quang
Thanh Trù, Thanh Trù
Trưng Trắc, Trưng Trắc
Trưng Nhị, Trưng Nhị
Phúc Thắng, Phúc Thắng
Xuân Hoà, Xuân Hoà
Ngọc Thanh, Ngọc Thanh
Nam Viêm, Nam Viêm
Tiền Châu, Tiền Châu
Lập Thạch, Lập Thạch
Hợp Lý, Hợp Lý
Bắc Bình, Bắc Bình
Hoa Sơn, Hoa Sơn
Liễn Sơn, Liễn Sơn
Xuân Hòa, Xuân Hòa
Vân Trục, Vân Trục
Tử Du, Tử Du
Bàn Giản, Bàn Giản
Xuân Lôi, Xuân Lôi
Đồng Ích, Đồng Ích
Tiên Lữ, Tiên Lữ
Văn Quán, Văn Quán
Đình Chu, Đình Chu
Triệu Đề, Triệu Đề
Hợp Hòa, Hợp Hòa
Hoàng Hoa, Hoàng Hoa
Đồng Tĩnh, Đồng Tĩnh
Kim Long, Kim Long
Hướng Đạo, Hướng Đạo
Đạo Tú, Đạo Tú
An Hòa, An Hòa
Duy Phiên, Duy Phiên
Hoàng Đan, Hoàng Đan
Hoàng Lâu, Hoàng Lâu
Tam Đảo, Tam Đảo
Hợp Châu, Hợp Châu
Đạo Trù, Đạo Trù
Yên Dương, Yên Dương
Bồ Lý, Bồ Lý
Đại Đình, Đại Đình
Tam Quan, Tam Quan
Hương Canh, Hương Canh
Gia Khánh, Gia Khánh
Trung Mỹ, Trung Mỹ
Bá Hiến, Bá Hiến
Tam Hợp, Tam Hợp
Quất Lưu, Quất Lưu
Sơn Lôi, Sơn Lôi
Đạo Đức, Đạo Đức
Thanh Lãng, Thanh Lãng
Phú Xuân, Phú Xuân
Yên Lạc, Yên Lạc
Đồng Cương, Đồng Cương
Bình Định, Bình Định
Trung Nguyên, Trung Nguyên
Tề Lỗ, Tề Lỗ
Tam Hồng, Tam Hồng
Yên Đồng, Yên Đồng
Văn Tiến, Văn Tiến
Nguyệt Đức, Nguyệt Đức
Yên Phương, Yên Phương
Hồng Phương, Hồng Phương
Trung Kiên, Trung Kiên
Đại Tự, Đại Tự
Hồng Châu, Hồng Châu
Vĩnh Tường, Vĩnh Tường
Kim Xá, Kim Xá
Chấn Hưng, Chấn Hưng
Việt Xuân, Việt Xuân
Bồ Sao, Bồ Sao
Lũng Hoà, Lũng Hoà
Cao Đại, Cao Đại
Thổ Tang, Thổ Tang
Vĩnh Sơn, Vĩnh Sơn
Thượng Trưng, Thượng Trưng
Vũ Di, Vũ Di
Lý Nhân, Lý Nhân
Tuân Chính, Tuân Chính
Vân Xuân, Vân Xuân
Tam Phúc, Tam Phúc
Tứ Trưng, Tứ Trưng
Ngũ Kiên, Ngũ Kiên
An Tường, An Tường
Vĩnh Thịnh, Vĩnh Thịnh
Phú Đa, Phú Đa
Vĩnh Ninh, Vĩnh Ninh
Lãng Công, Lãng Công
Quang Yên, Quang Yên
Bạch Lưu, Bạch Lưu
Hải Lựu, Hải Lựu
Đồng Quế, Đồng Quế
Nhân Đạo, Nhân Đạo
Đôn Nhân, Đôn Nhân
Phương Khoan, Phương Khoan
Nhạo Sơn, Nhạo Sơn
Như Thụy, Như Thụy
Yên Thạch, Yên Thạch
Tứ Yên, Tứ Yên
Đức Bác, Đức Bác
Cao Phong, Cao Phong
Vũ Ninh, Vũ Ninh
Đáp Cầu, Đáp Cầu
Thị Cầu, Thị Cầu
Kinh Bắc, Kinh Bắc
Vệ An, Vệ An
Tiền An, Tiền An
Đại Phúc, Đại Phúc
Ninh Xá, Ninh Xá
Suối Hoa, Suối Hoa
Võ Cường, Võ Cường
Hòa Long, Hòa Long
Vạn An, Vạn An
Khúc Xuyên, Khúc Xuyên
Phong Khê, Phong Khê
Kim Chân, Kim Chân
Vân Dương, Vân Dương
Nam Sơn, Nam Sơn
Khắc Niệm, Khắc Niệm
Hạp Lĩnh, Hạp Lĩnh
Chờ, Chờ
Dũng Liệt, Dũng Liệt
Tam Giang, Tam Giang
Thụy Hòa, Thụy Hòa
Hòa Tiến, Hòa Tiến
Đông Tiến, Đông Tiến
Yên Phụ, Yên Phụ
Trung Nghĩa, Trung Nghĩa
Đông Phong, Đông Phong
Long Châu, Long Châu
Văn Môn, Văn Môn
Phố Mới, Phố Mới
Việt Thống, Việt Thống
Đại Xuân, Đại Xuân
Nhân Hòa, Nhân Hòa
Bằng An, Bằng An
Phương Liễu, Phương Liễu
Quế Tân, Quế Tân
Phù Lương, Phù Lương
Phù Lãng, Phù Lãng
Phượng Mao, Phượng Mao
Việt Hùng, Việt Hùng
Ngọc Xá, Ngọc Xá
Châu Phong, Châu Phong
Bồng Lai, Bồng Lai
Cách Bi, Cách Bi
Yên Giả, Yên Giả
Mộ Đạo, Mộ Đạo
Hán Quảng, Hán Quảng
Lim, Lim
Nội Duệ, Nội Duệ
Liên Bão, Liên Bão
Hiên Vân, Hiên Vân
Hoàn Sơn, Hoàn Sơn
Lạc Vệ, Lạc Vệ
Việt Đoàn, Việt Đoàn
Phật Tích, Phật Tích
Tân Chi, Tân Chi
Minh Đạo, Minh Đạo
Cảnh Hưng, Cảnh Hưng
Đông Ngàn, Đông Ngàn
Tam Sơn, Tam Sơn
Hương Mạc, Hương Mạc
Tương Giang, Tương Giang
Phù Khê, Phù Khê
Đồng Kỵ, Đồng Kỵ
Trang Hạ, Trang Hạ
Đồng Nguyên, Đồng Nguyên
Châu Khê, Châu Khê
Tân Hồng, Tân Hồng
Đình Bảng, Đình Bảng
Phù Chẩn, Phù Chẩn
Hồ, Hồ
Hoài Thượng, Hoài Thượng
Đại Đồng Thành, Đại Đồng Thành
Mão Điền, Mão Điền
Song Hồ, Song Hồ
Đình Tổ, Đình Tổ
An Bình, An Bình
Trí Quả, Trí Quả
Gia Đông, Gia Đông
Thanh Khương, Thanh Khương
Trạm Lộ, Trạm Lộ
Xuân Lâm, Xuân Lâm
Hà Mãn, Hà Mãn
Ngũ Thái, Ngũ Thái
Nghĩa Đạo, Nghĩa Đạo
Song Liễu, Song Liễu
Gia Bình, Gia Bình
Thái Bảo, Thái Bảo
Giang Sơn, Giang Sơn
Cao Đức, Cao Đức
Đại Lai, Đại Lai
Song Giang, Song Giang
Lãng Ngâm, Lãng Ngâm
Nhân Thắng, Nhân Thắng
Đông Cứu, Đông Cứu
Đại Bái, Đại Bái
Quỳnh Phú, Quỳnh Phú
Thứa, Thứa
Trung Kênh, Trung Kênh
Phú Hòa, Phú Hòa
Mỹ Hương, Mỹ Hương
Tân Lãng, Tân Lãng
Quảng Phú, Quảng Phú
